dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	class
0.027456	0.43134	0.40574	0.36861	0.38887	0.59708	0.56766	0.49739	0.5555	0.45564	0.43634	0.35894	0.17738	0.012097	0.0082451	0.015209	0.013581	0.59708	0.60768	0.40214	-0.20555	0.087281	0.62343	0.65653	0.68835	0.71349	0.70514	0.30417	0.34448	0.93201	1.0157	0.93446	0.25788	0.26292	0.2297	0.23153	0.30631	0.29312	0.25289	0.27628	0.22306	0.21123	0.17308	0.081995	0.00040493	0.00094239	0.0018874	0.00017551	0.080398	0.3085	0.27141	0.29212	-0.13819	-0.13788	-0.13489	-0.057304	0.056861	0.050711	0.0656	0.088359	0.10587	0.11636	0.12364	0.14135	0.13431	-0.0025555	-0.13087	0.10202	0.30951	-0.1023	0.17408	0.1513	0.033731	-0.0445	-0.016098	-0.032792	1.8223	544.5
0.011152	0.14806	0.23858	0.21218	0.24534	0.16405	0.2123	0.31353	0.29844	0.19864	0.079463	0.22071	0.0066305	0.01269	0.0090714	0.010252	0.011239	0.31353	0.23473	0.098379	-0.13635	0.046977	0.27251	0.36705	0.48925	0.63037	0.73196	0.28333	0.13392	0.63738	0.6589	0.70842	0.04786	0.070068	0.058269	0.097798	0.084835	0.10584	0.15064	0.143	0.09458	0.037783	0.10491	0.00054469	0.0016691	0.0010756	0.0015002	0.001717	0.24632	0.23125	0.21504	0.23791	0.11705	-0.13286	0.010003	-0.015997	0.049367	0.085808	0.12802	0.13134	0.13927	0.14104	0.14141	0.040438	-0.12861	-0.095833	-0.14058	0.072343	0.35688	0.11419	0.41759	0.27549	0.070052	-0.018422	0.10743	0.030108	1.5993	367
0.018448	0.25598	0.43439	0.31024	0.35051	0.36512	0.35094	0.36889	0.2932	0.26879	0.26137	0.23744	0.0080972	0.012487	0.011733	0.009706	0.015341	0.43439	0.16982	0.04707	-0.12275	0.072619	0.18073	0.20477	0.23067	0.25572	0.27069	0.73229	0.10239	0.57034	0.69699	0.72812	0.071115	0.14286	0.10618	0.14351	0.074229	0.09979	0.068375	0.14242	0.1068	0.044312	0.061116	0.0012999	0.0020853	0.0015965	0.00054554	0.0029132	0.22131	0.22428	0.15232	0.20937	-0.12673	-0.064734	0.078449	-0.0134	0.13475	-0.1321	-0.13225	0.11496	0.067039	0.07495	0.097634	-0.080552	0.08919	-0.14142	0.090312	-0.13665	0.24033	0.15947	0.52104	0.26907	0.02902	-0.0054167	0.21502	0.037596	1.8084	361.5
0.012174	0.23316	0.21412	0.1811	0.33417	0.29459	0.31067	0.34218	0.31532	0.24856	0.085696	0.19185	0.018051	0.027749	0.019696	0.015302	0.012532	0.34218	0.2824	0.15741	-0.12499	0.047657	0.32692	0.43782	0.58038	0.74427	0.86328	0.41146	0.3149	0.45658	0.9302	1.012	0.14609	0.070077	0.095372	0.11645	0.14374	0.15233	0.16741	0.14046	0.10658	0.040863	0.091958	0.0036138	0.0034595	0.0017102	0.0027371	0.0017721	0.15236	0.18921	0.21319	0.19655	0.066627	-0.11402	0.033031	0.13911	0.10965	0.10411	0.1066	0.13944	0.1411	0.13743	0.13097	0.12622	-0.11358	-0.12579	-0.13626	-0.10894	0.53152	-0.0547	0.46503	0.28404	0.21769	-0.053111	0.16661	0.056913	1.5486	243.5
0.01276	0.22819	0.21379	0.17702	0.32845	0.28604	0.30268	0.33251	0.30688	0.24395	0.19575	0.18971	0.01802	0.02763	0.019514	0.015306	0.012606	0.33251	0.19344	0.10979	-0.083648	0.052546	0.21961	0.28294	0.36126	0.44847	0.51432	0.47813	0.15566	0.16017	0.74451	0.82849	0.13906	0.078963	0.058213	0.10824	0.11429	0.094155	0.12356	0.091528	0.086538	0.020797	0.044469	0.0037478	0.0029454	0.00053693	0.0023887	0.0010814	0.14835	0.17291	0.21856	0.18729	0.12086	0.039353	-0.11116	0.14033	0.1079	0.065782	0.094051	0.13924	0.14142	0.11057	0.076427	0.12775	-0.079131	0.1411	-0.13213	0.10232	0.52049	0.03227	0.46298	0.35142	0.21399	-0.037052	0.16461	0.11202	1.5184	243
0.013852	0.2073	0.19663	0.23874	0.34905	0.17822	0.17125	0.18075	0.25156	0.20511	0.22857	0.17972	0.01627	0.0083312	0.012432	0.012425	0.0094852	0.34905	0.041449	0.024183	-0.017266	0.058475	0.046063	0.056879	0.069691	0.083411	0.093789	0.55521	0.15777	0.37301	0.42708	0.40396	0.09024	0.069292	0.079062	0.1002	0.012692	0.042683	0.029699	0.11971	0.04253	0.014668	0.035288	0.0023653	0.0018578	0.0054478	0.00099667	0.0022238	0.25487	0.20171	0.20755	0.223	0.14138	0.072307	-0.13426	0.11019	-0.14042	-0.12386	-0.086882	0.067607	0.022202	0.082928	0.015467	-0.14141	-0.11324	0.13767	0.062876	0.1343	0.29373	0.23429	0.2033	0.26224	0.035267	0.0085826	-0.0031839	0.027781	1.6983	430.5
0.013839	0.18374	0.21955	0.22939	0.27073	0.38279	0.35339	0.41616	0.4833	0.43784	0.46693	0.35667	0.21401	0.01509	0.014697	0.011683	0.0151	0.4833	0.42315	0.23262	-0.19053	0.065739	0.45939	0.54148	0.63403	0.72836	0.79515	0.21771	0.063081	0.85307	1.2059	1.3715	0.07517	0.045498	0.067781	0.11022	0.18457	0.16685	0.20041	0.2287	0.21065	0.22283	0.16954	0.10173	0.0039097	0.00096376	0.0014087	0.0022678	0.20311	0.2367	0.23105	0.24352	-0.075597	0.13678	-0.041876	0.01659	0.12372	0.096982	0.12519	0.13549	0.12635	0.1364	0.14142	0.14141	0.12552	-0.068753	0.078191	-0.12371	0.3815	-0.12884	0.26378	0.13626	0.093131	-0.039491	0.031955	-0.028298	1.8809	339.5
0.020961	0.26867	0.22643	0.22254	0.32887	0.3274	0.37256	0.32197	0.33526	0.3404	0.35462	0.30126	0.042372	0.016643	0.01101	0.013999	0.010852	0.37256	0.12656	0.0069486	-0.11961	0.066589	0.13705	0.16072	0.18725	0.21413	0.2329	0.56458	0.17581	0.37538	0.389	0.33427	0.11713	0.044337	0.065824	0.1385	0.13586	0.1353	0.12332	0.1578	0.12448	0.11182	0.10997	0.011357	0.0011752	0.0011372	0.0016925	0.0023323	0.21732	0.19385	0.22186	0.21924	0.14105	-0.13178	0.14035	-0.066541	-0.039054	-0.082155	-0.13986	-0.10022	-0.13714	-0.033924	-0.13415	-0.046242	0.13658	-0.013752	-0.096558	-0.13994	-0.09923	-0.060426	0.36264	0.07118	-0.046982	-0.043925	0.082308	-0.030066	1.869	273.5
0.019806	0.20896	0.22478	0.30235	0.37096	0.38735	0.34954	0.35696	0.31595	0.27464	0.29216	0.30723	0.11991	0.020037	0.011664	0.01162	0.010124	0.38735	0.23441	0.14362	-0.09079	0.091446	0.23826	0.24629	0.25356	0.25832	0.25037	0.36458	0.1186	0.86913	0.92507	1.152	0.029524	0.11877	0.14331	0.125	0.08797	0.16109	0.1824	0.16102	0.13751	0.13906	0.074886	0.057067	0.00017177	0.00081256	0.00051705	0.0042891	0.22572	0.25122	0.25237	0.24758	-0.015514	-0.032565	-0.094419	-0.0013082	-0.014311	-0.049854	0.060665	0.063239	0.081232	0.11778	0.07614	0.13985	-0.13971	-0.14077	-0.08677	0.14097	0.2108	0.0079416	0.026892	0.074963	0.012898	-0.043521	-0.042798	-0.035488	2.0668	409.5
0.020113	0.2698	0.42269	0.39139	0.35455	0.080514	0.52086	0.69397	0.72117	0.81939	0.7869	0.7313	0.030887	0.027179	0.029547	0.026726	0.023055	0.81939	0.3688	0.21465	-0.15415	0.084381	0.38092	0.40657	0.43195	0.45334	0.45418	0.54583	0.091872	0.49559	0.56586	0.63844	0.077416	0.14961	0.11362	0.14084	0.037893	0.24884	0.33692	0.34106	0.19988	0.083315	0.08977	0.004296	0.0069254	0.0087279	0.0088555	0.0015742	0.19044	0.27928	0.12049	0.21908	-0.08593	0.13594	-0.11941	0.14094	0.13985	0.13504	0.11552	0.10289	0.050324	-0.1409	-0.1352	0.13261	0.1379	0.14025	0.13996	0.126	0.35656	0.16938	0.053413	0.2933	0.073026	-0.020569	-0.034847	0.051363	1.7093	223.5
